year,period,periodName,latest,value,footnotes,series_id
2024,Q03,3rd Quarter,true,3.9,[{}],CIU1010000000000A
2024,Q02,2nd Quarter,,4.1,[{}],CIU1010000000000A
2024,Q01,1st Quarter,,4.2,[{}],CIU1010000000000A
2023,Q04,4th Quarter,,4.2,[{}],CIU1010000000000A
2023,Q03,3rd Quarter,,4.3,[{}],CIU1010000000000A
2023,Q02,2nd Quarter,,4.5,[{}],CIU1010000000000A
2023,Q01,1st Quarter,,4.8,[{}],CIU1010000000000A
2022,Q04,4th Quarter,,5.1,[{}],CIU1010000000000A
2022,Q03,3rd Quarter,,5.0,[{}],CIU1010000000000A
2022,Q02,2nd Quarter,,5.1,[{}],CIU1010000000000A
2022,Q01,1st Quarter,,4.5,[{}],CIU1010000000000A
2021,Q04,4th Quarter,,4.0,[{}],CIU1010000000000A
2021,Q03,3rd Quarter,,3.7,[{}],CIU1010000000000A
2021,Q02,2nd Quarter,,2.9,[{}],CIU1010000000000A
2021,Q01,1st Quarter,,2.6,[{}],CIU1010000000000A
2020,Q04,4th Quarter,,2.5,[{}],CIU1010000000000A
2020,Q03,3rd Quarter,,2.4,[{}],CIU1010000000000A
2020,Q02,2nd Quarter,,2.7,[{}],CIU1010000000000A
2020,Q01,1st Quarter,,2.8,[{}],CIU1010000000000A
